,image_id,identity,path
0,000912763e305fbf,16,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow16\cow16_6_000912763e305fbf.png
1,00fa32a2e11048da,9,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow9\cow9_8_00fa32a2e11048da.png
2,01af8958e647d68a,26,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow26\cow26_6_01af8958e647d68a.png
3,01d8f02c86b3c48a,3,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow3\cow3_1_01d8f02c86b3c48a.png
4,020b33e51a98bb9b,2,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow2\cow2_5_020b33e51a98bb9b.png
5,039979b20a0e0e7f,9,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow9\cow9_8_039979b20a0e0e7f.png
6,045b76cefd871f2f,20,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow20\cow20_8_045b76cefd871f2f.png
7,0484f70dd8236077,2,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow2\cow2_7_0484f70dd8236077.png
8,058a6023a45f69d1,40,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow40\cow40_5_058a6023a45f69d1.png
9,06b9b3c0d1875fa6,16,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow16\cow16_4_06b9b3c0d1875fa6.png
10,07a2d1649d10fcf3,25,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow25\cow25_3_07a2d1649d10fcf3.png
11,08f4a50e301bf15d,4,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow4\cow4_4_08f4a50e301bf15d.png
12,08f7f076b413fa09,26,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow26\cow26_9_08f7f076b413fa09.png
13,09558087d15035a9,4,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow4\cow4_1_09558087d15035a9.png
14,0b2a9b242b9961bf,26,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow26\cow26_10_0b2a9b242b9961bf.png
15,0b33b08732c9f97b,37,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow37\cow37_2_0b33b08732c9f97b.png
16,0c1b00a6864e620a,6,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow6\cow6_5_0c1b00a6864e620a.png
17,0cbd7e1f4acc7fbc,9,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow9\cow9_4_0cbd7e1f4acc7fbc.png
18,0d0b1ecf1114428d,2,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow2\cow2_8_0d0b1ecf1114428d.png
19,0de0776e660e8a73,15,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow15\cow15_3_0de0776e660e8a73.png
20,0e307d6bc61701f8,31,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow31\cow31_4_0e307d6bc61701f8.png
21,0e5a30177c58cebd,15,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow15\cow15_1_0e5a30177c58cebd.png
22,0e5bf5788a410aa3,7,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow7\cow7_3_0e5bf5788a410aa3.png
23,0e858af58a541a79,26,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow26\cow26_7_0e858af58a541a79.png
24,105f791e1a0e352c,27,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow27\cow27_1_105f791e1a0e352c.png
25,14311761dce60a1b,10,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow10\cow10_1_14311761dce60a1b.png
26,148ede9dd7f953cb,36,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow36\cow36_2_148ede9dd7f953cb.png
27,149c680627ea2f5d,26,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow26\cow26_1_149c680627ea2f5d.png
28,14fa6933ee736f17,8,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow8\cow8_5_14fa6933ee736f17.png
29,169f7e9792c7c2dc,1,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow1\cow1_2_169f7e9792c7c2dc.png
30,172249530671e572,36,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow36\cow36_6_172249530671e572.png
31,192a47a483201bb8,8,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow8\cow8_4_192a47a483201bb8.png
32,1983885b2f6a3413,22,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow22\cow22_6_1983885b2f6a3413.png
33,198e073a62ac7ba0,17,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow17\cow17_1_198e073a62ac7ba0.png
34,19955046e6fed54c,25,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow25\cow25_6_19955046e6fed54c.png
35,19a486f519739f24,5,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow5\cow5_9_19a486f519739f24.png
36,19a7ed8001c42477,18,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow18\cow18_5_19a7ed8001c42477.png
37,1ab115a70e33dde8,9,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow9\cow9_2_1ab115a70e33dde8.png
38,1ab677cc79e80b65,38,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow38\cow38_3_1ab677cc79e80b65.png
39,1b4fa31a2b5e7c02,37,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow37\cow37_1_1b4fa31a2b5e7c02.png
40,1b8e08817a2ab54a,2,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow2\cow2_6_1b8e08817a2ab54a.png
41,1c6b807e2f7f9aea,27,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow27\cow27_2_1c6b807e2f7f9aea.png
42,1d06c5e774f8461e,12,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow12\cow12_2_1d06c5e774f8461e.png
43,1d23ee9270f26a02,33,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow33\cow33_7_1d23ee9270f26a02.png
44,1f73684ec3a8940a,8,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow8\cow8_7_1f73684ec3a8940a.png
45,1f86077a94ecc7e1,9,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow9\cow9_3_1f86077a94ecc7e1.png
46,1ff49baea6c1b904,24,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow24\cow24_7_1ff49baea6c1b904.png
47,20012e31b412da57,9,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow9\cow9_7_20012e31b412da57.png
48,218c842ef026835b,18,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow18\cow18_9_218c842ef026835b.png
49,21ea3c482c8eb5c6,6,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow6\cow6_3_21ea3c482c8eb5c6.png
50,2482a7d906b53d8b,8,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow8\cow8_9_2482a7d906b53d8b.png
51,24aea91b5cb4d1ef,25,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow25\cow25_8_24aea91b5cb4d1ef.png
52,255de77da952e676,26,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow26\cow26_4_255de77da952e676.png
53,2583c0e9e1ceed4b,12,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow12\cow12_10_2583c0e9e1ceed4b.png
54,25949f620001bba9,21,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow21\cow21_7_25949f620001bba9.png
55,25e158b86fd2897f,23,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow23\cow23_2_25e158b86fd2897f.png
56,26c63392256d0808,33,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow33\cow33_8_26c63392256d0808.png
57,29ccf277d77140b1,40,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow40\cow40_7_29ccf277d77140b1.png
58,2a67258e383136c9,31,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow31\cow31_5_2a67258e383136c9.png
59,2c7592722ceb45e6,5,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow5\cow5_9_2c7592722ceb45e6.png
60,2d0b22293cf5ede6,33,wurzq71kfm561ljahbwjhx9n3\Cows-testing\Cow33\cow33_3_2d0b22293cf5ede6.png
61,2d5efee3d2b0622a,8,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow8\cow8_2_2d5efee3d2b0622a.png
62,2d875946d85ca10a,3,wurzq71kfm561ljahbwjhx9n3\Cows-training\Cow3\cow3_1_2d875946d85ca10a.png
