,image_id,identity,path
0,0050b870a1f4d586,Maskio,wildlife_reidentification-main\Lion_Data_Zero\val\Maskio\Maskio_Left_Body_0050b870a1f4d586.png
1,009b7fa63cfb88f5,Arria,wildlife_reidentification-main\Lion_Data_Zero\val\Arria\Arria_Right_ear_009b7fa63cfb88f5.png
2,01038e09440889ed,Blackie,wildlife_reidentification-main\Lion_Data_Zero\train\Blackie\Blackie_Whiskers_01038e09440889ed.png
3,015e3dd761fdc45e,Naini,wildlife_reidentification-main\Lion_Data_Zero\train\Naini\Naini_Nose_015e3dd761fdc45e.png
4,01719ac6abb0c2b0,Moswen,wildlife_reidentification-main\Lion_Data_Zero\train\Moswen\Moswen_Left_Body_01719ac6abb0c2b0.png
5,01ce63980ecedf7a,Moswen,wildlife_reidentification-main\Lion_Data_Zero\train\Moswen\Moswen_Left_Face3_01ce63980ecedf7a.png
6,01cedd8bb7ca6962,Empurra,wildlife_reidentification-main\Lion_Data_Zero\train\Empurra\Empurra_Whiskers_01cedd8bb7ca6962.png
7,021290cf34698380,Simaloi,wildlife_reidentification-main\Lion_Data_Zero\train\Simaloi\Simaloi_Left_Ear_021290cf34698380.png
8,025d5f4f26dd283d,Supu,wildlife_reidentification-main\Lion_Data_Zero\train\Supu\Supu_Nose_025d5f4f26dd283d.png
9,0307f3e367372614,Sadala,wildlife_reidentification-main\Lion_Data_Zero\val\Sadala\Sadala_Whiskers_0307f3e367372614.png
10,0362f1aad42b759d,Manzy,wildlife_reidentification-main\Lion_Data_Zero\val\Manzy\Manzy_Left_Ear_0362f1aad42b759d.png
11,03e89dbf350504de,Engiyaa,wildlife_reidentification-main\Lion_Data_Zero\train\Engiyaa\Engiyaa_Right_Face_03e89dbf350504de.png
12,042d14d29de0f608,Yieyio,wildlife_reidentification-main\Lion_Data_Zero\train\Yieyio\Yieyio_Left_Ear_042d14d29de0f608.png
13,043685c7dffd3761,Maskio,wildlife_reidentification-main\Lion_Data_Zero\val\Maskio\Maskio_Right_Ear_043685c7dffd3761.png
14,04e437509d8cc773,Olchore,wildlife_reidentification-main\Lion_Data_Zero\train\Olchore\Olchore_Right_ear_04e437509d8cc773.png
15,0523e19f74def4d6,Matajo,wildlife_reidentification-main\Lion_Data_Zero\train\Matajo\Matajo_Portrait_0523e19f74def4d6.png
16,057e36dc170957ce,Kibibi,wildlife_reidentification-main\Lion_Data_Zero\train\Kibibi\Kibibi_Nose_057e36dc170957ce.png
17,05aa0933570ffe7f,Naape,wildlife_reidentification-main\Lion_Data_Zero\train\Naape\Naape_Portrait_05aa0933570ffe7f.png
18,05bfc80fbfd078e1,Enderoni,wildlife_reidentification-main\Lion_Data_Zero\train\Enderoni\Enderoni_Left_Face_05bfc80fbfd078e1.png
19,06175c7c2bd58547,Moswen,wildlife_reidentification-main\Lion_Data_Zero\train\Moswen\Moswen_Mane_06175c7c2bd58547.png
20,063ace98356558c2,Sadala,wildlife_reidentification-main\Lion_Data_Zero\val\Sadala\Sadala_Left_Body_063ace98356558c2.png
21,0820073d45d8e771,Kaka,wildlife_reidentification-main\Lion_Data_Zero\train\Kaka\Kaka_Left_Face_0820073d45d8e771.png
22,0826cd3f8cd5fb3f,Namunyak,wildlife_reidentification-main\Lion_Data_Zero\train\Namunyak\Namunyak_Left_Ear_0826cd3f8cd5fb3f.png
23,0875cc41130c7c91,Olbarnoti,wildlife_reidentification-main\Lion_Data_Zero\train\Olbarnoti\Olbarnoti_Right_Whiskers_0875cc41130c7c91.png
24,08b0319ac4e576eb,Tikki,wildlife_reidentification-main\Lion_Data_Zero\train\Tikki\Tikki_Right_Ear_08b0319ac4e576eb.png
25,08bc8c09419e09f9,Romeo,wildlife_reidentification-main\Lion_Data_Zero\train\Romeo\Romeo_Tail_08bc8c09419e09f9.png
26,08bebeed85840f6e,Maskio,wildlife_reidentification-main\Lion_Data_Zero\val\Maskio\Maskio_Portrait_08bebeed85840f6e.png
27,08f2e3ad77096bc0,Naibor,wildlife_reidentification-main\Lion_Data_Zero\train\Naibor\Naibor_Right_Body_08f2e3ad77096bc0.png
28,0992628b6753d17c,Sadala,wildlife_reidentification-main\Lion_Data_Zero\val\Sadala\Sadala_Portrait_0992628b6753d17c.png
29,0af9828a6db14398,Etana,wildlife_reidentification-main\Lion_Data_Zero\val\Etana\Etana_Right_Face_0af9828a6db14398.png
30,0b6e99c12e857061,Sebastian,wildlife_reidentification-main\Lion_Data_Zero\train\Sebastian\Sebastian_Left_Face_0b6e99c12e857061.png
31,0bdd2812eea8e46b,Enadalut,wildlife_reidentification-main\Lion_Data_Zero\train\Enadalut\Enadalut_Right_Face_0bdd2812eea8e46b.png
32,0be73b259fb31821,Mama-Kali,wildlife_reidentification-main\Lion_Data_Zero\train\Mama-Kali\Mama-Kali_Portrait_0be73b259fb31821.png
33,0bfe73e39168f53d,Lemuanik,wildlife_reidentification-main\Lion_Data_Zero\train\Lemuanik\Lemuanik_Left_Body_0bfe73e39168f53d.png
34,0c3007b8c7220a88,Enadalut,wildlife_reidentification-main\Lion_Data_Zero\train\Enadalut\Enadalut_Whiskers_0c3007b8c7220a88.png
35,0d306807a9994a19,Mama-Kali,wildlife_reidentification-main\Lion_Data_Zero\train\Mama-Kali\Mama-Kali_Right_Face_0d306807a9994a19.png
36,0d54a06b333c2587,Olchore,wildlife_reidentification-main\Lion_Data_Zero\train\Olchore\Olchore_Whiskers_0d54a06b333c2587.png
37,0daa3c1115c36958,Nakato,wildlife_reidentification-main\Lion_Data_Zero\train\Nakato\Nakato_Left_Face_0daa3c1115c36958.png
38,0e048a2047a4dd97,Safi,wildlife_reidentification-main\Lion_Data_Zero\val\Safi\Safi_Right_Face_0e048a2047a4dd97.png
39,0e719dfc88eb501f,Summer,wildlife_reidentification-main\Lion_Data_Zero\val\Summer\Summer_Ears_0e719dfc88eb501f.png
40,0ea199892c96fbca,Blackie,wildlife_reidentification-main\Lion_Data_Zero\train\Blackie\Blackie_Nose_0ea199892c96fbca.png
41,0f09dfa89b8827f9,Shambe,wildlife_reidentification-main\Lion_Data_Zero\train\Shambe\Shambe_Mane_0f09dfa89b8827f9.png
42,1057f42616a9d142,Arria,wildlife_reidentification-main\Lion_Data_Zero\val\Arria\Arria_Body_1057f42616a9d142.png
43,1161706c32e5cccf,Saba,wildlife_reidentification-main\Lion_Data_Zero\train\Saba\Saba_Nose_1161706c32e5cccf.png
44,117b7674cde97b70,White-Eye,wildlife_reidentification-main\Lion_Data_Zero\train\White-Eye\White-Eye_Left_Ear_117b7674cde97b70.png
45,11c16569f3705c6a,Senteu,wildlife_reidentification-main\Lion_Data_Zero\train\Senteu\Senteu_Portrait_11c16569f3705c6a.png
46,11cecf40c339b699,Naisiae,wildlife_reidentification-main\Lion_Data_Zero\train\Naisiae\Naisiae_Whiskers_11cecf40c339b699.png
47,11e214b3541fbe38,Samir,wildlife_reidentification-main\Lion_Data_Zero\train\Samir\Samir_Left_Face_11e214b3541fbe38.png
48,138866aa15567843,Safi,wildlife_reidentification-main\Lion_Data_Zero\val\Safi\Safi_Portrait_138866aa15567843.png
49,1392f128dbfe13bd,Naini,wildlife_reidentification-main\Lion_Data_Zero\train\Naini\Naini_Right_Ear_1392f128dbfe13bd.png
50,139a133d66e883ce,Naape,wildlife_reidentification-main\Lion_Data_Zero\train\Naape\Naape_Nose_139a133d66e883ce.png
51,13a72bab954b5dd2,Mashavu,wildlife_reidentification-main\Lion_Data_Zero\val\Mashavu\Mashavu_Body_13a72bab954b5dd2.png
52,13dce2864561e58c,Kinna,wildlife_reidentification-main\Lion_Data_Zero\train\Kinna\Kinna_Portrait_13dce2864561e58c.png
53,140ce926dc5ee856,Dada,wildlife_reidentification-main\Lion_Data_Zero\train\Dada\Dada_Left_Face_140ce926dc5ee856.png
54,150aeb973ee6010b,Orkiti,wildlife_reidentification-main\Lion_Data_Zero\train\Orkiti\Orkiti_left_face_150aeb973ee6010b.png
55,155fc93c966f56a7,Etana,wildlife_reidentification-main\Lion_Data_Zero\val\Etana\Etana_Nose_155fc93c966f56a7.png
56,156553f5b779adb5,Selenkay,wildlife_reidentification-main\Lion_Data_Zero\train\Selenkay\Selenkay_Left_Ear_156553f5b779adb5.png
57,156974acc21eb92d,Nguro,wildlife_reidentification-main\Lion_Data_Zero\train\Nguro\Nguro_Right_Ear_156974acc21eb92d.png
58,16331697c6ee523e,Dada,wildlife_reidentification-main\Lion_Data_Zero\train\Dada\Dada_Portrait_16331697c6ee523e.png
59,164b44bfc03d65cb,Olonyori,wildlife_reidentification-main\Lion_Data_Zero\train\Olonyori\Olonyori_Right_Face_164b44bfc03d65cb.png
60,16efbe736ea1da93,Kibibi,wildlife_reidentification-main\Lion_Data_Zero\train\Kibibi\Kibibi_Left_Body_16efbe736ea1da93.png
61,175d20512fb330d3,Orkiti,wildlife_reidentification-main\Lion_Data_Zero\train\Orkiti\Orkiti_right_face_175d20512fb330d3.png
62,18cbba0980c9777c,Lilly,wildlife_reidentification-main\Lion_Data_Zero\train\Lilly\Lilly_Right_Face_18cbba0980c9777c.png
63,190a2db1a445ed4c,Orkiti,wildlife_reidentification-main\Lion_Data_Zero\train\Orkiti\Orkiti_left_ear_190a2db1a445ed4c.png
64,19c9a4a1e60f7a02,Spring,wildlife_reidentification-main\Lion_Data_Zero\val\Spring\Spring_Right_ear_19c9a4a1e60f7a02.png
65,1ad2151978cb25db,Napi,wildlife_reidentification-main\Lion_Data_Zero\train\Napi\Napi_Portrait_1ad2151978cb25db.png
66,1b27fa8d269abfb9,Nakepari,wildlife_reidentification-main\Lion_Data_Zero\train\Nakepari\Nakepari_Portrait_1b27fa8d269abfb9.png
67,1b3498dacf2a9d51,Samir,wildlife_reidentification-main\Lion_Data_Zero\train\Samir\Samir_Left_Ear_1b3498dacf2a9d51.png
68,1b611ff387abee71,Lemayian,wildlife_reidentification-main\Lion_Data_Zero\train\Lemayian\Lemayian_Whiskers_1b611ff387abee71.png
69,1c8b718509aaac8c,Ayo,wildlife_reidentification-main\Lion_Data_Zero\train\Ayo\Ayo_Whiskers_1c8b718509aaac8c.png
70,1d0bbd10e68817c1,Dada,wildlife_reidentification-main\Lion_Data_Zero\train\Dada\Dada_Right_Face_1d0bbd10e68817c1.png
71,1d2981d1e0dfa1ea,Autumn,wildlife_reidentification-main\Lion_Data_Zero\val\Autumn\Autumn_Portrait_1d2981d1e0dfa1ea.png
72,1d2fb40bc903ba76,Yieyio,wildlife_reidentification-main\Lion_Data_Zero\train\Yieyio\Yieyio_Nose_1d2fb40bc903ba76.png
73,1d5e829d101abd71,Esiriwua,wildlife_reidentification-main\Lion_Data_Zero\train\Esiriwua\Esiriwua_left_face_1d5e829d101abd71.png
74,1f06e1047539017c,Saimutie,wildlife_reidentification-main\Lion_Data_Zero\val\Saimutie\Saimutie_Nose_1f06e1047539017c.png
75,1f8d73b1fa4ffa18,Nasieku,wildlife_reidentification-main\Lion_Data_Zero\train\Nasieku\Nasieku_Nose_1f8d73b1fa4ffa18.png
76,1fcb1311ef1936f1,Winter,wildlife_reidentification-main\Lion_Data_Zero\train\Winter\Winter_Portrait_1fcb1311ef1936f1.png
77,1fcc0c6f31a7b330,Kaka,wildlife_reidentification-main\Lion_Data_Zero\train\Kaka\Kaka_Whiskers_1fcc0c6f31a7b330.png
78,205e04ff46738c50,Sangiki,wildlife_reidentification-main\Lion_Data_Zero\train\Sangiki\Sangiki_Right_Face_205e04ff46738c50.png
79,20b98c3d31454ea7,Nasieku,wildlife_reidentification-main\Lion_Data_Zero\train\Nasieku\Nasieku_Teeth_20b98c3d31454ea7.png
80,2147aeb6d34598bd,Lilly,wildlife_reidentification-main\Lion_Data_Zero\train\Lilly\Lilly_Left_Face_2147aeb6d34598bd.png
81,22485891a54dd70d,Mashavu,wildlife_reidentification-main\Lion_Data_Zero\val\Mashavu\Mashavu_Left_Face_22485891a54dd70d.png
82,22996120fd235ded,Charm,wildlife_reidentification-main\Lion_Data_Zero\train\Charm\Charm_Whiskers_22996120fd235ded.png
83,22c05a93957dfc06,Lolparpit,wildlife_reidentification-main\Lion_Data_Zero\train\Lolparpit\Lolparpit_left_ear_22c05a93957dfc06.png
84,22dce325bef088de,Romeo,wildlife_reidentification-main\Lion_Data_Zero\train\Romeo\Romeo_Whiskers_22dce325bef088de.png
85,2408b4ceee81e282,Naini,wildlife_reidentification-main\Lion_Data_Zero\train\Naini\Naini_Portrait_2408b4ceee81e282.png
86,245af32eb91a8a74,Manzy,wildlife_reidentification-main\Lion_Data_Zero\val\Manzy\Manzy_Right_Body_245af32eb91a8a74.png
87,24eeb55a539dfa0b,Jamal,wildlife_reidentification-main\Lion_Data_Zero\val\Jamal\Jamal_left_ear_24eeb55a539dfa0b.png
88,255472135c48ca13,Empurra,wildlife_reidentification-main\Lion_Data_Zero\train\Empurra\Empurra_Left_Ear_255472135c48ca13.png
89,26868798ad84ca17,Leia,wildlife_reidentification-main\Lion_Data_Zero\train\Leia\Leia_Left_Face_26868798ad84ca17.png
90,26d181a621881d3c,Blackie,wildlife_reidentification-main\Lion_Data_Zero\train\Blackie\Blackie_Left_Portrait_26d181a621881d3c.png
91,2716c325c0534dbd,Siti,wildlife_reidentification-main\Lion_Data_Zero\train\Siti\Siti_Body_2716c325c0534dbd.png
92,2717ae372ba6872b,Lucinda,wildlife_reidentification-main\Lion_Data_Zero\train\Lucinda\Lucinda_Portrait_2717ae372ba6872b.png
93,2828d395a39adcca,White-Eye,wildlife_reidentification-main\Lion_Data_Zero\train\White-Eye\White-Eye_Right_Portrait_2828d395a39adcca.png
94,282f146c62fd2863,Lemuanik,wildlife_reidentification-main\Lion_Data_Zero\train\Lemuanik\Lemuanik_Whiskers_282f146c62fd2863.png
95,285121d39443e6fd,Doto,wildlife_reidentification-main\Lion_Data_Zero\train\Doto\Doto_Left_Body_285121d39443e6fd.png
96,2885208bd2c65300,Ayo,wildlife_reidentification-main\Lion_Data_Zero\train\Ayo\Ayo_Left_Face_2885208bd2c65300.png
97,2898f849e6daa7c4,Enkume,wildlife_reidentification-main\Lion_Data_Zero\train\Enkume\Enkume_Portrait_2898f849e6daa7c4.png
98,28d01f65a024b06a,Lemuanik,wildlife_reidentification-main\Lion_Data_Zero\train\Lemuanik\Lemuanik_Portrait_28d01f65a024b06a.png
99,28de504d057e9861,Etana,wildlife_reidentification-main\Lion_Data_Zero\val\Etana\Etana_Left_Face_28de504d057e9861.png
100,297032e603109e12,Saruni,wildlife_reidentification-main\Lion_Data_Zero\train\Saruni\Saruni_Left_Ear_297032e603109e12.png
101,2979f59bd6986bd3,Joshua,wildlife_reidentification-main\Lion_Data_Zero\train\Joshua\Joshua_Left_Face_2979f59bd6986bd3.png
102,297d356bbc0be3be,Mooza,wildlife_reidentification-main\Lion_Data_Zero\train\Mooza\Mooza_Left_Face_297d356bbc0be3be.png
103,29c6bd7cdcfa31dd,Spot,wildlife_reidentification-main\Lion_Data_Zero\val\Spot\Spot_Right_Body_29c6bd7cdcfa31dd.png
104,29dd6395a9bd02a0,Doto,wildlife_reidentification-main\Lion_Data_Zero\train\Doto\Doto_Left_Face_29dd6395a9bd02a0.png
105,2aa2706e8cb358bd,Spot,wildlife_reidentification-main\Lion_Data_Zero\val\Spot\Spot_Whiskers_2aa2706e8cb358bd.png
106,2accb8805133de5d,Nesapuka,wildlife_reidentification-main\Lion_Data_Zero\train\Nesapuka\Nesapuka_Left_Ear_2accb8805133de5d.png
107,2bc5a16f209a6fdb,Nariku-Inkgera,wildlife_reidentification-main\Lion_Data_Zero\val\Nariku-Inkgera\Nariku-Inkgera_Nose_2bc5a16f209a6fdb.png
108,2c2ed16d4bac1420,Lucinda,wildlife_reidentification-main\Lion_Data_Zero\train\Lucinda\Lucinda_Whiskers_2c2ed16d4bac1420.png
109,2c2f77013ba51649,Mooza,wildlife_reidentification-main\Lion_Data_Zero\train\Mooza\Mooza_Teeth_2c2f77013ba51649.png
110,2cb9d2dbe9dd29da,Hasani,wildlife_reidentification-main\Lion_Data_Zero\val\Hasani\Hasani_Left_Face_2cb9d2dbe9dd29da.png
111,2d474cd2493258ea,Nariku-Inkgera,wildlife_reidentification-main\Lion_Data_Zero\val\Nariku-Inkgera\Nariku-Inkgera_Portrait_2d474cd2493258ea.png
112,2daa006779308751,Engiyaa,wildlife_reidentification-main\Lion_Data_Zero\train\Engiyaa\Engiyaa_Right_Whiskers_2daa006779308751.png
113,2de837965454bda3,Simaloi,wildlife_reidentification-main\Lion_Data_Zero\train\Simaloi\Simaloi_Right_Face_2de837965454bda3.png
114,2deb3c09d8b41824,Lilly,wildlife_reidentification-main\Lion_Data_Zero\train\Lilly\Lilly_Portrait_2deb3c09d8b41824.png
115,2e0270d0598c072e,Arria,wildlife_reidentification-main\Lion_Data_Zero\val\Arria\Arria_Portrait_2e0270d0598c072e.png
116,2e310d16e625aa01,Joshua,wildlife_reidentification-main\Lion_Data_Zero\train\Joshua\Joshua_Left_Body_2e310d16e625aa01.png
117,2e3a15733c77559f,Empurra,wildlife_reidentification-main\Lion_Data_Zero\train\Empurra\Empurra_Nose_2e3a15733c77559f.png
118,2e4d3d74e44bd13a,Blackie,wildlife_reidentification-main\Lion_Data_Zero\train\Blackie\Blackie_Left_Face_2e4d3d74e44bd13a.png
119,2e58cf1318c92ab1,Charm,wildlife_reidentification-main\Lion_Data_Zero\train\Charm\Charm_Nose_2e58cf1318c92ab1.png
